time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.00603908364e-07,3.41235118738e-07,10.006774224,0.000274221053048,6.28302308707,0.0,1.23690503952e-05,2.94675205574e-05,0.225789352741,0.0124250363894,-0.00874934383674,0.0,475.4463424670161,474.77570677569065,474.69188578032964,475.64415708784634
0.12000000000000001,5.8890080681e-06,1.06710563466e-05,10.0233161876,0.000603724651353,6.28279014273,0.0,0.00021774708808,0.000375757698821,0.32558556665,-0.0143497967195,0.00440906415659,0.0,436.4035424851076,437.5003801603622,437.9691999042966,435.73694493186883
0.18,2.49668679843e-05,4.09536261566e-05,10.0425761925,6.2829494011,6.28306155232,0.0,0.000395177951976,0.000560678079545,0.316417311818,-0.0132913072618,0.00475138504403,0.0,401.00015807048675,401.031167397561,400.7093464330885,400.80563022916806
0.23999999999999996,4.96029114759e-05,6.64267933726e-05,10.0653461797,6.28221742836,0.000636824450273,0.0,0.000367019082724,0.000207564666521,0.442541172788,-0.0101008815209,0.0250817051599,0.0,444.46762217402625,446.1303382373749,445.04265696103556,445.30379489483255
0.3,5.09853154225e-05,5.49513291192e-05,10.0963362748,6.28129050287,0.00248739221478,0.0,-0.00050604528787,-0.000670319256007,0.590396376195,-0.0291760008912,0.0404061847172,0.0,451.4464005760657,452.68133193948466,452.8183685263051,451.28157447527536
0.36000000000000004,-4.48773515452e-05,-3.39665271958e-05,10.1360062261,6.27935314084,0.00570787851266,0.0,-0.00300332801397,-0.00249190222877,0.731853350247,-0.0393829363703,0.0719254796656,0.0,449.1511698738649,451.7015107280997,450.4766566667264,449.6502630575447
0.4200000000000001,-0.000349684873026,-0.000265269307205,10.181421946,6.27703015084,0.00981332424173,0.0,-0.0075561689768,-0.00543969582548,0.781966814516,-0.0374161975046,0.0602988556711,0.0,421.69827527789306,420.6966754828811,421.40704267266113,421.5761624497809
0.48000000000000015,-0.00103483179157,-0.000736735539577,10.2327494469,6.2746510214,0.0137879748492,0.0,-0.0156967686279,-0.0105265194013,0.928835246036,-0.0445465118221,0.0760596409815,0.0,452.4558847370882,453.7259299979634,451.56936318172467,450.9931076603267
0.5400000000000001,-0.00232699911297,-0.00158380102188,10.2947508509,6.27241082768,0.0185082025632,0.0,-0.0279216040671,-0.0179939555282,1.13768244406,-0.0258368250823,0.0834357437047,0.0,470.80213360053165,471.376960851927,470.37260481954087,471.8184712743709
0.6000000000000002,-0.00441297218713,-0.00289676676079,10.3664837553,6.27121895197,0.0231953607325,0.0,-0.0421172051381,-0.0259109739388,1.25328223074,-0.0100088143152,0.0645086416566,0.0,444.53524358091767,442.9865138578589,441.9553939569076,443.25789830970064
0.6600000000000003,-0.00738026923193,-0.00467328569236,10.442432685,6.27108803789,0.0268697705202,0.0,-0.0571359122592,-0.0333360981591,1.27831160736,0.0101021724836,0.0537401348943,0.0,414.88237006680356,413.93885976065604,412.9236543889394,414.69384754361516
0.7200000000000003,-0.0114694335754,-0.00696065124741,10.525491226,6.27217966695,0.0307871936653,0.0,-0.0795938078074,-0.0428014792424,1.49004289334,0.0308047196989,0.081814215882,0.0,472.0617925293485,474.22564155399135,471.52241469796223,473.1188232064906
0.7800000000000004,-0.0169582632027,-0.00976848194627,10.6197254417,6.2741490264,0.0357452405998,0.0,-0.103908030139,-0.0505782888197,1.65086228265,0.0365798398666,0.0842244721321,0.0,458.14138488942365,458.3382923803546,457.70735727112356,458.16707759406773
0.8400000000000004,-0.0238628812019,-0.0129599207064,10.7193662164,6.27701441959,0.0411931637067,0.0,-0.126720378108,-0.0555691856476,1.67045087584,0.0638891684603,0.101462695742,0.0,412.6836107792813,414.20974064653194,412.3803571203173,414.7869371542108
0.9000000000000005,-0.0323317602882,-0.0164058666722,10.8223763263,6.28073390749,0.0470412019502,0.0,-0.156173688982,-0.0589136365222,1.76305451084,0.057898866432,0.0879653188109,0.0,438.3282642992059,437.2134470598482,437.5028164389116,437.00663872074557
0.9600000000000005,-0.0426908290608,-0.0199774204964,10.9310715564,0.00151016650107,0.0521586581474,0.0,-0.18965006777,-0.0597569115253,1.85993868153,0.0786763184092,0.0793237027815,0.0,439.57969871667314,438.8691085992385,438.3811793206194,440.1073284871882
1.0200000000000005,-0.0550791536948,-0.0235177064232,11.0440149924,0.00620874441425,0.0568610716947,0.0,-0.223734831954,-0.057811183159,1.90474011759,0.0775664443415,0.076403389959,0.0,422.5322295935778,422.28565818102885,423.23966723428384,423.1493684265555
1.0800000000000005,-0.0699559871313,-0.02680891093,11.1657775476,0.0108178619394,0.0611266857783,0.0,-0.272687765755,-0.0513248178902,2.15353443553,0.0752803287819,0.0575039984431,0.0,486.19970695541207,484.785091103969,485.8452131482071,485.6779128762568
1.1400000000000006,-0.0874836561572,-0.0296685484399,11.2961773531,0.015750366488,0.0645082855699,0.0,-0.311882568321,-0.0435556181917,2.19302004563,0.093339219803,0.0539688203345,0.0,422.2855641217883,421.9828641394799,421.7659430814533,423.32844605649683
1.2000000000000006,-0.107578774487,-0.0319266783013,11.4312784909,0.0210749269758,0.0674628883278,0.0,-0.358267545206,-0.0311467338669,2.31008321955,0.077454106674,0.0375496311478,0.0,447.834386630361,446.4983635667101,448.41252764747804,447.12669823818953
1.2600000000000007,-0.13024868101,-0.033417259972,11.5694621365,0.0260692431648,0.0693519376605,0.0,-0.39758039407,-0.0181270212118,2.29603873126,0.0928306253477,0.0151894141064,0.0,406.2394339771372,404.229933545936,404.31598421899974,405.7052176849123
